stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code
1407_01,,岐南工業高校,,35.405331551,136.731325673,1407_01,,0,
1407_02,,岐南工業高校,,35.405365768,136.731420449,1407_02,,0,
1408_01,,科学館前,,35.403594232,136.731506665,1408_01,,0,
1408_02,,科学館前,,35.403138971,136.731730008,1408_02,,0,
1409_01,,県美術館北,,35.4020444336273,136.730784939553,1409_01,,0,
1409_02,,県美術館北,,35.4019639680206,136.730020417912,1409_02,,0,
1411_01,,図書館美術館駐車場前,,35.40047841,136.732208083,1411_01,,0,
1411_02,,図書館美術館駐車場前,,35.4005355640869,136.732308599378,1411_02,,0,
1412_01,,宇佐住吉町,,35.4005430264883,136.734253401356,1412_01,,0,
1412_02,,宇佐住吉町,,35.4006443387974,136.735276939918,1412_02,,0,
1413_01,,宇佐東町,,35.399573231,136.735557966,1413_01,,0,
1413_02,,宇佐東町,,35.399018317,136.735459428,1413_02,,0,
1414_01,,神明神社北,,35.397787019,136.73424017,1414_01,,0,
1414_02,,神明神社北,,35.397881638,136.73437318,1414_02,,0,
1415_01,,早徳病院東,,35.39680442,136.735818375,1415_01,,0,
1415_02,,早徳病院東,,35.3968728559147,136.735788300573,1415_02,,0,
1416_01,,岐阜産業会館,,35.397134013,136.739453666,1416_01,,0,
1416_02,,岐阜産業会館,,35.3972150140862,136.739396107798,1416_02,,0,
1417_01,,金花堂鍼灸整骨院前,,35.39660057,136.741226579,1417_01,,0,
1417_02,,金花堂鍼灸整骨院前,,35.3966807034145,136.741235301407,1417_02,,0,
1418_01,,福寿公園前,,35.3982193660503,136.744636940518,1418_01,,0,
1418_02,,福寿公園前,,35.3982868987012,136.744549098173,1418_02,,0,
1419_01,,片田神社前,,35.397980798,136.746867626,1419_01,,0,
1419_02,,片田神社前,,35.3980677128482,136.746881106484,1419_02,,0,
1421_01,,笠原鋼鉄前,,35.4029755333436,136.746581767828,1421_01,,0,
1421_02,,笠原鋼鉄前,,35.403832835,136.747011141,1421_02,,0,
1422_01,,みさとこども園前,,35.4028340604833,136.743562901776,1422_01,,0,
1422_02,,みさとこども園前,,35.4035584175239,136.743940515676,1422_02,,0,
1423_01,,三里小学校前,,35.403107678,136.742771288,1423_01,,0,
1423_02,,三里小学校前,,35.403408411,136.742711209,1423_02,,0,
1424_01,,丸川荘前,,35.404024217,136.741660213,1424_01,,0,
1424_02,,丸川荘前,,35.4040325257712,136.741546597437,1424_02,,0,
1425_01,,三里診療所前,,35.40498637,136.741704486,1425_01,,0,
1425_02,,三里診療所前,,35.4050944924358,136.741496840687,1425_02,,0,
1426_01,,清本町５丁目,,35.4063253294995,136.739660674968,1426_01,,0,
1426_02,,清本町５丁目,,35.4063466209919,136.739599654713,1426_02,,0,
1427_01,,カネスエ,,35.407505815,136.744137691,1427_01,,0,
1427_02,,カネスエ,,35.407924993,136.742891908,1427_02,,0,
1428_01,,たかはし整形外科前,,35.4071810141153,136.746719889874,1428_01,,0,
1428_02,,たかはし整形外科前,,35.4076495683768,136.746154542314,1428_02,,0,
1429_01,,オーキッドパーク,,35.4112724602731,136.744987585503,1429_01,,0,
1429_02,,オーキッドパーク,,35.411209119,136.745040849,1429_02,,0,
1430_01,,敷島町３丁目,,35.41158628,136.742203498,1430_01,,0,
1430_02,,敷島町３丁目,,35.411523295,136.742143501,1430_02,,0,
1431_01,,本荘公園西,,35.414242817,136.741081851,1431_01,,0,
1431_02,,本荘公園西,,35.4142206943442,136.74101227228,1431_02,,0,
1432_01,,こばと幼稚園,,35.415856332,136.740548248,1432_01,,0,
1432_02,,こばと幼稚園,,35.4158073002672,136.740477383136,1432_02,,0,
1433_01,,嵯峨野前,,35.4166062149884,136.739346313692,1433_01,,0,
1433_02,,嵯峨野前,,35.416533131,136.739259653,1433_02,,0,
1434_01,,岐阜電材前,,35.416059193483,136.736847102532,1434_01,,0,
